,name,networth,rank,year
909,God Nisanov,3.4,891,2021
913,Patrick Ryan,3.4,891,2021
915,Lynn Schusterman,3.4,891,2021
917,Daniel Tsai,3.4,891,2021
918,Tung Chee Chen,3.4,891,2021
920,Frank VanderSloot,3.4,891,2021
921,Kelcy Warren,3.4,891,2021
923,Vladimir Yevtushenkov,3.4,891,2021
924,Somphote Ahunai,3.3,925,2021
925,John Arnold,3.3,925,2021
931,Senapathy Gopalakrishnan,3.3,925,2021
932,B. Wayne Hughes,3.3,925,2021
934,Samvel Karapetyan,3.3,925,2021
936,Jim Koch,3.3,925,2021
937,"Andre Koo, Sr.",3.3,925,2021
938,Yuri Kovalchuk,3.3,925,2021
939,Richard LeFrak & family,3.3,925,2021
942,Jean (Gigi) Pritzker,3.3,925,2021
946,"Bernard Saul, II.",3.3,925,2021
948,Tahir & family,3.3,925,2021
949,Lucio Tan,3.3,925,2021
953,"William Wrigley, Jr.",3.3,925,2021
954,Zhang Xin & Pan Shiyi,3.3,925,2021
958,Chey Tae-won,3.2,956,2021
961,Jack Cowin,3.2,956,2021
962,Archie Aldis Emmerson & family,3.2,956,2021
964,Juan Carlos Escotet,3.2,956,2021
966,Don Hankey,3.2,956,2021
971,Thai Lee,3.2,956,2021
973,Ronald McAulay,3.2,956,2021
976,John Sall,3.2,956,2021
977,Naguib Sawiris,3.2,956,2021
982,Tsai Hong-tu,3.2,956,2021
983,Steve Wynn,3.2,956,2021
991,John Fisher,3.1,986,2021
1001,Sergey Lomakin,3.1,986,2021
1004,Penny Pritzker,3.1,986,2021
1005,Herb Simon,3.1,986,2021
1006,Jerry Speyer,3.1,986,2021
1008,Koos Bekker,3.0,1008,2021
1009,Ben Chestnut,3.0,1008,2021
1016,Philippe Foriel-Destezet,3.0,1008,2021
1020,Alec Gores,3.0,1008,2021
1022,Jimmy Haslam,3.0,1008,2021
1027,James Irsay,3.0,1008,2021
1028,Justin Ishbia,3.0,1008,2021
1030,George Kurtz,3.0,1008,2021
1032,Kwek Leng Beng,3.0,1008,2021
1039,Jeffrey Lurie,3.0,1008,2021
1043,Haim Saban,3.0,1008,2021
1044,Ferit Faik Sahenk,3.0,1008,2021
1045,Eddy Kusnadi Sariaatmadja,3.0,1008,2021
1050,Pat Stryker,3.0,1008,2021
1051,Hans Sy,3.0,1008,2021
1053,Andrew Tan,3.0,1008,2021
1061,Zhang Lei,3.0,1008,2021
1064,Ben Ashkenazy,2.9,1064,2021
1065,Sid Bass,2.9,1064,2021
1068,Riley Bechtel & family,2.9,1064,2021
1069,Sanjeev Bikhchandani,2.9,1064,2021
1072,Bennett Dorrance,2.9,1064,2021
1076,Bob Gaglardi,2.9,1064,2021
1078,Maggie Hardy Knox,2.9,1064,2021
1083,Osman Kibar,2.9,1064,2021
1084,Kim Taek-jin,2.9,1064,2021
1086,Pablo Legorreta,2.9,1064,2021
1087,Liang Yunchao,2.9,1064,2021
1090,Farhad Moshiri,2.9,1064,2021
1093,Alexander Nesis,2.9,1064,2021
1096,Sebastian Piñera & family,2.9,1064,2021
1097,Alexander Ponomarenko,2.9,1064,2021
1098,Chandru Raheja,2.9,1064,2021
1099,Chad Richison,2.9,1064,2021
1100,Arkady Rotenberg,2.9,1064,2021
1103,Alexander Skorobogatko,2.9,1064,2021
1104,Jeff Sutton,2.9,1064,2021
1105,Glen Taylor,2.9,1064,2021
1108,Jon Yarbrough,2.9,1064,2021
1110,William Ackman,2.8,1111,2021
1114,Aneel Bhusri,2.8,1111,2021
1115,Norman Braman,2.8,1111,2021
1117,Vivek Chand Burman,2.8,1111,2021
1118,John Catsimatidis,2.8,1111,2021
1119,Morris Chang,2.8,1111,2021
1124,James Clark,2.8,1111,2021
1128,Doris Fisher,2.8,1111,2021
1129,Gary Friedman,2.8,1111,2021
1130,Valentin Gapontsev & family,2.8,1111,2021
1131,David Gottesman,2.8,1111,2021
1133,Alan Howard,2.8,1111,2021
1137,Timur Kulibaev,2.8,1111,2021
1138,Dinara Kulibaeva,2.8,1111,2021
1140,Li Sze Lim,2.8,1111,2021
1144,Rudy Ma,2.8,1111,2021
1145,"Drayton McLane, Jr.",2.8,1111,2021
1157,T. Denny Sanford,2.8,1111,2021
1161,Warren Stephens,2.8,1111,2021
1162,Konstantin Strukov,2.8,1111,2021
1174,Timothy Boyle,2.7,1174,2021
1175,John Paul DeJoria,2.7,1174,2021
1180,James Jannard,2.7,1174,2021
1181,Vinod Khosla,2.7,1174,2021
1182,Valentin Kipyatkov,2.7,1174,2021
1183,Lim Kok Thay,2.7,1174,2021
1189,Sean Parker,2.7,1174,2021
1190,Richard Peery,2.7,1174,2021
1191,"H. Ross Perot, Jr.",2.7,1174,2021
1195,"Henry Sy, Jr.",2.7,1174,2021
1196,Teresita Sy-Coson,2.7,1174,2021
1199,Tsai Ming-kai,2.7,1174,2021
1203,Mortimer Zuckerman,2.7,1174,2021
1204,Brian Acton,2.6,1205,2021
1209,Guilherme Benchimol,2.6,1205,2021
1212,Abilio dos Santos Diniz,2.6,1205,2021
1220,Brad Kelley,2.6,1205,2021
1225,K.C. Liu,2.6,1205,2021
1227,Kalanithi Maran,2.6,1205,2021
1228,C. Dean Metropoulos,2.6,1205,2021
1230,Daniel Pritzker,2.6,1205,2021
1232,Alexey Repik,2.6,1205,2021
1234,Yuri Shefler,2.6,1205,2021
1236,Stephen Smith,2.6,1205,2021
1237,Dan Snyder,2.6,1205,2021
1238,Helmut Sohmen,2.6,1205,2021
1239,Tung Chee Hwa,2.6,1205,2021
1242,Evan Williams,2.6,1205,2021
1243,Wu Guangming,2.6,1205,2021
1248,John Arrillaga,2.5,1249,2021
1249,Carol Jenkins Barnett,2.5,1249,2021
1250,William Berkley,2.5,1249,2021
1252,Andrei Bokarev,2.5,1249,2021
1253,Jim Breyer,2.5,1249,2021
1254,Charles Bronfman,2.5,1249,2021
1257,Leon G. Cooperman,2.5,1249,2021
1259,Gerald Ford,2.5,1249,2021
1261,Mikhail Gutseriev,2.5,1249,2021
1264,"Jeremy Jacobs, Sr. & family",2.5,1249,2021
1267,Lee Hae-jin,2.5,1249,2021
1270,Mohamed Mansour,2.5,1249,2021
1271,Harsh Mariwala,2.5,1249,2021
1272,Najib Mikati,2.5,1249,2021
1273,Taha Mikati,2.5,1249,2021
1274,Pedro Moreira Salles,2.5,1249,2021
1277,Nandan Nilekani,2.5,1249,2021
1279,Victor Pinchuk,2.5,1249,2021
1281,John Pritzker,2.5,1249,2021
1282,Rajan Raheja & family,2.5,1249,2021
1287,Kavitark Ram Shriram,2.5,1249,2021
1314,Stephen Feinberg,2.4,1299,2021
1318,Geng Jianming,2.4,1299,2021
1320,Adi Godrej,2.4,1299,2021
1321,Jamshyd Godrej,2.4,1299,2021
1322,Nadir Godrej,2.4,1299,2021
1324,Lawrence Ho,2.4,1299,2021
1325,Donald Horton,2.4,1299,2021
1326,Douglas Hsu,2.4,1299,2021
1330,Gail Miller,2.4,1299,2021
1331,Robert Miller,2.4,1299,2021
1332,Vadim Moshkovich,2.4,1299,2021
1335,Madhukar Parekh,2.4,1299,2021
1336,Gregorio Perez Companc & family,2.4,1299,2021
1337,Dmitry Pumpyansky,2.4,1299,2021
1339,Hussain Sajwani,2.4,1299,2021
1342,Alice Schwartz,2.4,1299,2021
1346,William Stone,2.4,1299,2021
1350,Roman Trotsenko,2.4,1299,2021
1351,Donald Trump,2.4,1299,2021
1352,T.Y. Tsai,2.4,1299,2021
1353,John Tyson,2.4,1299,2021
1371,Anand Burman,2.3,1362,2021
1375,Jim Coulter,2.3,1362,2021
1376,"Edward DeBartolo, Jr.",2.3,1362,2021
1377,Maria Del Pino,2.3,1362,2021
1384,Harsh Goenka,2.3,1362,2021
1385,Noam Gottesman,2.3,1362,2021
1388,David Hains,2.3,1362,2021
1389,Michael Hintze,2.3,1362,2021
1396,Baba Kalyani,2.3,1362,2021
1398,Mustafa Rahmi Koc,2.3,1362,2021
1399,Eiichi Kuriwada,2.3,1362,2021
1406,Alexander Mamut,2.3,1362,2021
1407,Daniel Mate,2.3,1362,2021
1408,Clayton Mathile,2.3,1362,2021
1409,Aristotelis Mistakidis,2.3,1362,2021
1410,Fernando Roberto Moreira Salles,2.3,1362,2021
1412,Walther Moreira Salles Junior,2.3,1362,2021
1417,Karl-Johan Persson,2.3,1362,2021
1419,Stewart Rahr,2.3,1362,2021
1423,Stephan Schmidheiny,2.3,1362,2021
1424,Vijay Shekhar Sharma,2.3,1362,2021
1429,Ted Turner,2.3,1362,2021
1430,Jitendra Virwani,2.3,1362,2021
1431,Arkady Volozh,2.3,1362,2021
1432,Lang Walker,2.3,1362,2021
1435,Elaine Wynn,2.3,1362,2021
1437,Jerry Yang,2.3,1362,2021
1442,Kostyantin Zhevago,2.3,1362,2021
1445,Ramon Ang,2.2,1444,2021
1448,Richard Barton,2.2,1444,2021
1449,Edward Bass,2.2,1444,2021
1450,Thor Bjorgolfsson,2.2,1444,2021
1452,Bruce Cheng,2.2,1444,2021
1453,Chin Jong Hwa,2.2,1444,2021
1456,K. Dinesh,2.2,1444,2021
1457,"Frank Fertitta, III.",2.2,1444,2021
1458,Lorenzo Fertitta,2.2,1444,2021
1460,Serge Godin,2.2,1444,2021
1464,Carlos Hank Rhon,2.2,1444,2021
1469,Randal J. Kirk,2.2,1444,2021
1470,Leo Koguan,2.2,1444,2021
1473,Thomas Kwok,2.2,1444,2021
1475,Jeff Lawson,2.2,1444,2021
1476,Max Levchin,2.2,1444,2021
1480,Liang Xinjun,2.2,1444,2021
1483,Scott Lin,2.2,1444,2021
1486,Rubens Menin Teixeira de Souza,2.2,1444,2021
1497,Alberto Siccardi & family,2.2,1444,2021
1506,David Walentas,2.2,1444,2021
1507,Wu Lanlan & family,2.2,1444,2021
1508,Wu Yiling,2.2,1444,2021
1509,Xiang Wenbo,2.2,1444,2021
1522,Ray Davis,2.1,1517,2021
1525,William Fisher,2.1,1517,2021
1529,Gordon Getty,2.1,1517,2021
1540,Bruce Karsh,2.1,1517,2021
1542,Dominika Kulczyk,2.1,1517,2021
1552,Daniel Lubetzky,2.1,1517,2021
1554,Igor Makarov,2.1,1517,2021
1555,Kishore Mariwala,2.1,1517,2021
1556,Howard Marks,2.1,1517,2021
